layer,train_input,test_input,subset,fold,auroc,n,pos
6,cq,cq,C+,0,0.7894878706199461,123,70
6,cq,cq,C+,1,0.7624135763670646,123,86
6,cq,cq,C+,2,0.7030303030303029,122,77
6,cq,cq,C+,3,0.7883426552840741,122,79
6,cq,cq,C+,4,0.7348484848484848,122,66
6,cq,cq,C-,oof,0.7549631438520326,612,378
6,cq,cq,C-,0,0.7840970350404313,123,70
6,cq,cq,C-,1,0.7627278441231929,123,86
6,cq,cq,C-,2,0.7189033189033189,122,77
6,cq,cq,C-,3,0.7862820135413601,122,79
6,cq,cq,C-,4,0.7299783549783551,122,66
6,cq,q,all,oof,0.7065866232532898,1224,756
6,cq,q,all,0,0.723989218328841,246,140
6,cq,q,all,1,0.7620993086109364,246,172
6,cq,q,all,2,0.5812409812409812,244,154
6,cq,q,all,3,0.7226964969090373,244,158
6,cq,q,all,4,0.7895021645021645,244,132
6,cq,q,C+,oof,0.7065866232532898,612,378
6,cq,q,C+,0,0.723989218328841,123,70
6,cq,q,C+,1,0.7620993086109364,123,86
6,cq,q,C+,2,0.5812409812409812,122,77
6,cq,q,C+,3,0.7226964969090374,122,79
6,cq,q,C+,4,0.7895021645021645,122,66
6,cq,q,C-,oof,0.7065866232532898,612,378
6,cq,q,C-,0,0.723989218328841,123,70
6,cq,q,C-,1,0.7620993086109364,123,86
6,cq,q,C-,2,0.5812409812409812,122,77
6,cq,q,C-,3,0.7226964969090374,122,79
6,cq,q,C-,4,0.7895021645021645,122,66
7,q,q,all,oof,0.7809659476326143,1224,756
7,q,q,all,0,0.7159029649595687,246,140
7,q,q,all,1,0.8026398491514771,246,172
7,q,q,all,2,0.8190476190476191,244,154
7,q,q,all,3,0.7697968795996467,244,158
7,q,q,all,4,0.8214285714285713,244,132
7,q,q,C+,oof,0.7809659476326143,612,378
7,q,q,C+,0,0.7159029649595687,123,70
7,q,q,C+,1,0.8026398491514771,123,86
7,q,q,C+,2,0.8190476190476191,122,77
7,q,q,C+,3,0.7697968795996467,122,79
7,q,q,C+,4,0.8214285714285715,122,66
7,q,q,C-,oof,0.7809659476326143,612,378
7,q,q,C-,0,0.7159029649595687,123,70
7,q,q,C-,1,0.8026398491514771,123,86
7,q,q,C-,2,0.8190476190476191,122,77
7,q,q,C-,3,0.7697968795996467,122,79
7,q,q,C-,4,0.8214285714285715,122,66
7,q,cq,all,oof,0.6231911093022204,1224,756
7,q,cq,all,0,0.7115229110512129,246,140
7,q,cq,all,1,0.5868950345694531,246,172
7,q,cq,all,2,0.6503607503607504,244,154
7,q,cq,all,3,0.6210627023844568,244,158
7,q,cq,all,4,0.6036255411255411,244,132
7,q,cq,C+,oof,0.6232193732193732,612,378
7,q,cq,C+,0,0.7099730458221024,123,70
7,q,cq,C+,1,0.5873664362036455,123,86
7,q,cq,C+,2,0.6418470418470419,122,77
7,q,cq,C+,3,0.6287901089196349,122,79
7,q,cq,C+,4,0.601461038961039,122,66
7,q,cq,C-,oof,0.6231967620856509,612,378
7,q,cq,C-,0,0.7129380053908355,123,70
7,q,cq,C-,1,0.5851665619107479,123,86
7,q,cq,C-,2,0.6588744588744588,122,77
7,q,cq,C-,3,0.6134824845451868,122,79
7,q,cq,C-,4,0.6055194805194806,122,66
7,cq,cq,all,oof,0.7632727354949578,1224,756
7,cq,cq,all,0,0.7535714285714286,246,140
7,cq,cq,all,1,0.8065681961030798,246,172
7,cq,cq,all,2,0.7228715728715729,244,154
7,cq,cq,all,3,0.8014424492198999,244,158
7,cq,cq,all,4,0.7474972943722944,244,132
7,cq,cq,C+,oof,0.7628318183873739,612,378
7,cq,cq,C+,0,0.7544474393530998,123,70
7,cq,cq,C+,1,0.8079824010056567,123,86
7,cq,cq,C+,2,0.7177489177489178,122,77
7,cq,cq,C+,3,0.799528996173094,122,79
7,cq,cq,C+,4,0.7483766233766234,122,66
7,cq,cq,C-,oof,0.7635779858002081,612,378
7,cq,cq,C-,0,0.7504043126684636,123,70
7,cq,cq,C-,1,0.8048397234443747,123,86
7,cq,cq,C-,2,0.7298701298701298,122,77
7,cq,cq,C-,3,0.8027671474830733,122,79
7,cq,cq,C-,4,0.7481060606060606,122,66
7,cq,q,all,oof,0.7031384253606476,1224,756
7,cq,q,all,0,0.7258760107816711,246,140
7,cq,q,all,1,0.7218730358265242,246,172
7,cq,q,all,2,0.5725829725829726,244,154
7,cq,q,all,3,0.7279952899617308,244,158
7,cq,q,all,4,0.7391774891774892,244,132
7,cq,q,C+,oof,0.7031384253606476,612,378
7,cq,q,C+,0,0.7258760107816712,123,70
7,cq,q,C+,1,0.7218730358265242,123,86
7,cq,q,C+,2,0.5725829725829726,122,77
7,cq,q,C+,3,0.7279952899617309,122,79
7,cq,q,C+,4,0.7391774891774892,122,66
7,cq,q,C-,oof,0.7031384253606476,612,378
7,cq,q,C-,0,0.7258760107816712,123,70
7,cq,q,C-,1,0.7218730358265242,123,86
7,cq,q,C-,2,0.5725829725829726,122,77
7,cq,q,C-,3,0.7279952899617309,122,79
7,cq,q,C-,4,0.7391774891774892,122,66
8,q,q,all,oof,0.8046171935060823,1224,756
8,q,q,all,0,0.7598382749326146,246,140
8,q,q,all,1,0.8268384663733499,246,172
8,q,q,all,2,0.8386724386724387,244,154
8,q,q,all,3,0.8092434501030321,244,158
8,q,q,all,4,0.8268398268398269,244,132
8,q,q,C+,oof,0.8046171935060824,612,378
8,q,q,C+,0,0.7598382749326146,123,70
8,q,q,C+,1,0.8268384663733501,123,86
8,q,q,C+,2,0.8386724386724387,122,77
8,q,q,C+,3,0.8092434501030321,122,79
8,q,q,C+,4,0.8268398268398269,122,66
8,q,q,C-,oof,0.8046171935060824,612,378
8,q,q,C-,0,0.7598382749326146,123,70
8,q,q,C-,1,0.8268384663733501,123,86
8,q,q,C-,2,0.8386724386724387,122,77
8,q,q,C-,3,0.8092434501030321,122,79
8,q,q,C-,4,0.8268398268398269,122,66
8,q,cq,all,oof,0.6528710487043821,1224,756
8,q,cq,all,0,0.720687331536388,246,140
8,q,cq,all,1,0.5799025769956002,246,172
8,q,cq,all,2,0.6531746031746033,244,154
8,q,cq,all,3,0.6530762437444804,244,158
8,q,cq,all,4,0.6255411255411256,244,132
8,q,cq,C+,oof,0.6525007913896802,612,378
8,q,cq,C+,0,0.7223719676549866,123,70
8,q,cq,C+,1,0.5857950974230044,123,86
8,q,cq,C+,2,0.6447330447330447,122,77
8,q,cq,C+,3,0.6567559611421843,122,79
8,q,cq,C+,4,0.6244588744588744,122,66
8,q,cq,C-,oof,0.652839958395514,612,378
8,q,cq,C-,0,0.7188679245283018,123,70
8,q,cq,C-,1,0.5754242614707732,123,86
8,q,cq,C-,2,0.6608946608946609,122,77
8,q,cq,C-,3,0.6499852811304092,122,79
8,q,cq,C-,4,0.6263528138528138,122,66
8,cq,cq,all,oof,0.786451973951974,1224,756
8,cq,cq,all,0,0.7781671159029648,246,140
8,cq,cq,all,1,0.8334380892520427,246,172
8,cq,cq,all,2,0.7651515151515151,244,154
8,cq,cq,all,3,0.8209449514277304,244,158
8,cq,cq,all,4,0.7598079004329005,244,132
8,cq,cq,C+,oof,0.7867543978655089,612,378
8,cq,cq,C+,0,0.7816711590296496,123,70
8,cq,cq,C+,1,0.8375235700817095,123,86
8,cq,cq,C+,2,0.7572871572871573,122,77
8,cq,cq,C+,3,0.8195466588166029,122,79
8,cq,cq,C+,4,0.7640692640692641,122,66
8,cq,cq,C-,oof,0.7857255912811468,612,378
8,cq,cq,C-,0,0.7743935309973045,123,70
8,cq,cq,C-,1,0.8309239472030169,123,86
8,cq,cq,C-,2,0.7717171717171717,122,77
8,cq,cq,C-,3,0.8207241683838681,122,79
8,cq,cq,C-,4,0.7554112554112553,122,66
8,cq,q,all,oof,0.749717360828472,1224,756
